Occupation,Average Rating
ápolónő,6.947368421052632
pincérnő,6.894736842105263
tanárnő,6.894736842105263
házvezetőnő,6.894736842105263
takarítónő,6.842105263157895
titkárnő,6.578947368421052
kozmetikus,6.210526315789474
nővér,6.210526315789474
házvezető,5.789473684210526
légiutas-kísérő,5.368421052631579
takarító,5.157894736842105
gondozó,5.105263157894737
pénztáros,5.052631578947368
modell,5.052631578947368
bolti eladó,5.052631578947368
HR-es,5.0
fodrász,5.0
recepciós,4.842105263157895
dietetikus,4.631578947368421
ápoló,4.473684210526316
könyvelő,4.421052631578947
jegyárus,4.315789473684211
PR munkatárs,4.2631578947368425
felszolgáló,4.2631578947368425
tanár,4.052631578947368
diák,4.0
titkár,3.9473684210526314
bíró,3.789473684210526
pincér,3.68421052631579
tudós,3.6315789473684212
orvos,3.526315789473684
menedzser,3.4210526315789473
ügyész,3.3684210526315788
kórboncnok,3.2631578947368416
rendező,3.2631578947368416
professzor,3.1578947368421053
kertész,3.105263157894737
mérnök,2.9473684210526314
szakács,2.9473684210526314
vízimentő,2.894736842105263
vezérigazgató,2.8421052631578947
építész,2.7894736842105265
rendőr,2.736842105263158
munkás,2.6842105263157894
programozó,2.6842105263157894
földműves,2.526315789473684
pilóta,2.3684210526315788
katona,2.263157894736842
biztonsági őr,2.105263157894737
tűzoltó,1.7894736842105263
