participant_id,label,no,item,condition,cb,left,right,first_region_time,last_region_time,choice_time,choice,choice_rt_ms
roro101,experiment,1.0,1.0,exclusive,n,1a,1b,1758196309890,1758196311315,1758196316287,left_canvas,54442
roro101,experiment,6.0,2.0,contrastive,y,2b,2a,1758196008765,1758196010531,1758196017436,left_canvas,-244409
roro101,experiment,8.0,3.0,focus,y,3b,3a,1758195921768,1758195922861,1758195927485,left_canvas,-334360
roro101,experiment,10.0,4.0,exclusive,y,4b,4a,1758195773925,1758195784290,1758195791736,right_canvas,-470109
roro101,experiment,15.0,5.0,contrastive,n,5a,5b,1758196061296,1758196062353,1758196066202,right_canvas,-195643
roro101,experiment,17.0,6.0,focus,n,6a,6b,1758196344310,1758196346374,1758196351839,right_canvas,89994
roro101,experiment,19.0,7.0,exclusive,n,7a,7b,1758196295257,1758196296302,1758196300452,left_canvas,38607
roro101,experiment,24.0,8.0,contrastive,y,8b,8a,1758196114659,1758196116209,1758196121345,left_canvas,-140500
roro101,experiment,26.0,9.0,focus,y,9b,9a,1758196130938,1758196132103,1758196138131,right_canvas,-123714
roro101,experiment,28.0,10.0,exclusive,y,10b,10a,1758196046828,1758196047831,1758196051640,right_canvas,-210205
roro101,experiment,33.0,11.0,contrastive,n,11a,11b,1758195888850,1758195889969,1758195894858,right_canvas,-366987
roro101,experiment,35.0,12.0,focus,n,12a,12b,1758195855898,1758195857310,1758195862614,left_canvas,-399231
roro101,experiment,37.0,13.0,exclusive,n,13a,13b,1758195905306,1758195906339,1758195911206,left_canvas,-350639
roro101,experiment,42.0,14.0,contrastive,y,14b,14a,1758196326206,1758196327757,1758196334071,left_canvas,72226
roro101,experiment,44.0,15.0,focus,y,15b,15a,1758195712451,1758195713531,1758195718334,right_canvas,-543511
roro101,experiment,46.0,16.0,exclusive,y,16b,16a,1758196276899,1758196278907,1758196285746,right_canvas,23901
roro101,experiment,51.0,17.0,contrastive,n,17a,17b,1758196152109,1758196154488,1758196159033,right_canvas,-102812
roro101,experiment,53.0,18.0,focus,n,18a,18b,1758195608947,1758195610730,1758195621183,right_canvas,-640662
roro101,experiment,55.0,19.0,self-directed,n,szakács,dolgozó,1758195631741,1758195633032,1758195644648,left_canvas,-617197
roro101,experiment,58.0,19.0,other-directed-x,y,szakács,dolgozó,1758196238754,1758196239599,1758196247495,right_canvas,-14350
roro101,experiment,61.0,20.0,self-directed-x,n,rendező,programozó,1758195654512,1758195655350,1758195664242,right_canvas,-597603
roro101,experiment,64.0,21.0,other-directed,y,orvos,tűzoltó,1758195971277,1758195972176,1758195980245,right_canvas,-281600
roro101,experiment,67.0,22.0,self-directed,n,vezérigazgató,menedzser,1758196257462,1758196258406,1758196265252,left_canvas,3407
roro101,experiment,70.0,22.0,other-directed-x,y,vezérigazgató,menedzser,1758195674802,1758195675746,1758195684301,right_canvas,-577544
roro101,experiment,73.0,23.0,self-directed-x,n,biztonsági őr,rendőr,1758195840076,1758195840990,1758195846085,left_canvas,-415760
roro101,experiment,76.0,24.0,other-directed,y,mérnök,építész,1758196222827,1758196223820,1758196229094,right_canvas,-32751
roro101,experiment,79.0,25.0,self-directed,n,ügyész,tudós,1758196170193,1758196171296,1758196179683,right_canvas,-82162
roro101,experiment,82.0,25.0,other-directed-x,y,ügyész,tudós,1758196076857,1758196078646,1758196083749,right_canvas,-178096
roro101,experiment,85.0,26.0,self-directed-x,n,professzor,pilóta,1758195872474,1758195873393,1758195879167,right_canvas,-382678
roro101,experiment,88.0,27.0,other-directed,y,kórboncnok,katona,1758195820873,1758195821712,1758195829767,left_canvas,-432078
roro101,experiment,91.0,28.0,self-directed,n,Mária,Julcsi,1758196093743,1758196094739,1758196100791,right_canvas,-161054
roro101,experiment,94.0,28.0,other-directed-x,y,Mária,Julcsi,1758195748228,1758195749087,1758195756807,right_canvas,-505038
roro101,experiment,97.0,29.0,self-directed-x,n,munkás,földműves,1758195955560,1758195956731,1758195961532,left_canvas,-300313
roro101,experiment,100.0,30.0,other-directed,y,diák,tanár,1758195989827,1758195991014,1758195995611,right_canvas,-266234
roro101,experiment,103.0,31.0,other-directed-x,n,művész,üzletember,1758196189681,1758196190539,1758196195462,left_canvas,-66383
roro101,experiment,106.0,31.0,self-directed-x,y,művész,üzletember,1758195937527,1758195938428,1758195943143,right_canvas,-318702
roro101,experiment,109.0,32.0,self-directed-x,n,politikus,újságíró,1758196028796,1758196029860,1758196037353,right_canvas,-224492
roro101,experiment,111.0,33.0,attention-check,n,burgonya,paradicsom,1758195804978,1758195806228,1758195810744,left_canvas,-451101
roro101,experiment,114.0,34.0,attention-check,y,hangya,elefánt,1758195695277,1758195696673,1758195702946,left_canvas,-558899
roro101,experiment,117.0,35.0,attention-check,n,pelikán,tigris,1758196205882,1758196207294,1758196212017,left_canvas,-49828
roro101,experiment,120.0,36.0,attention-check,y,reggeli,vacsora,1758195729320,1758195730395,1758195738575,right_canvas,-523270
roro101,practice,990.0,0.0,practice,n,A,B,1758195505181,1758195507914,1758195513864,left_canvas_practice,-747981
roro101,practice,991.0,0.0,practice,y,D,C,1758195523924,1758195525827,1758195532638,right_canvas_practice,-729207
roro101,practice,992.0,0.0,practice,n,E,F,1758195585212,1758195586323,1758195596619,left_canvas_practice,-665226
